# frameNo,time,energy,intensity,sonorantEnergy,sonorantIntensity,band2to20Energy,band2to20Intensity,band1Intensity,band2Intensity,band3Intensity,band4Intensity,band1overlapInten,band2overlapInten,band3overlapInten,band4overlapInten,band1vaishaliInten,band2vaishaliInten,band3vaishaliInten,band4vaishaliInten,spectralTilt
50.00000,0.50000,0.07439,-11.28508,0.07180,-11.43850,0.07377,-11.32094,-27.24349,-16.46941,-19.47622,-21.55866,-12.53515,-14.97960,-19.80767,-33.00407,-30.93853,-11.98393,-21.45642,-33.01030,68.52923
51.00000,0.51000,0.07311,-11.36012,0.07030,-11.53046,0.07223,-11.41302,-26.63063,-16.48797,-19.26322,-21.45882,-12.74655,-14.87335,-19.67492,-33.01030,-29.69408,-12.12529,-21.38041,-33.01030,68.10139
52.00000,0.52000,0.07134,-11.46692,0.06870,-11.63019,0.07054,-11.51574,-27.02945,-16.85523,-18.96910,-21.43789,-12.98544,-14.92276,-19.52774,-33.01030,-30.37557,-12.24068,-21.35677,-33.01030,65.74033
53.00000,0.53000,0.07007,-11.54482,0.06728,-11.72141,0.06915,-11.60214,-26.75209,-16.95372,-18.76192,-21.15884,-13.22187,-14.84608,-19.36064,-33.01030,-29.72500,-12.38600,-21.07326,-33.01030,65.00350
54.00000,0.54000,0.06906,-11.60778,0.06634,-11.78212,0.06837,-11.65113,-26.61155,-17.02146,-18.97388,-21.34537,-13.23023,-15.03071,-19.63813,-33.01030,-30.45952,-12.43469,-21.24780,-33.01030,66.42428
55.00000,0.55000,0.06861,-11.63629,0.06581,-11.81705,0.06796,-11.67716,-26.43418,-17.27354,-18.76880,-20.85380,-13.43132,-14.76983,-19.24817,-33.01030,-29.88243,-12.57547,-20.74189,-33.01030,66.15077
56.00000,0.56000,0.06577,-11.81988,0.06285,-12.01705,0.06501,-11.87027,-26.23897,-17.71203,-19.09134,-20.92174,-13.68208,-15.13604,-19.24263,-33.01030,-29.94214,-12.81185,-20.79960,-33.01030,64.18076
57.00000,0.57000,0.06492,-11.87589,0.06202,-12.07488,0.06422,-11.92363,-25.89775,-17.64080,-19.29105,-21.04815,-13.65466,-15.14971,-19.42871,-33.01030,-29.46787,-12.87853,-20.91707,-33.01030,65.41931
58.00000,0.58000,0.06293,-12.01158,0.06011,-12.21087,0.06231,-12.05474,-26.12898,-18.04200,-19.40766,-21.05834,-13.85143,-15.36373,-19.52104,-33.01030,-29.99022,-13.02652,-20.92022,-33.01030,64.07425
59.00000,0.59000,0.06169,-12.09804,0.05914,-12.28120,0.06114,-12.13672,-26.76119,-18.04753,-19.61473,-20.75276,-13.93853,-15.35316,-19.38707,-32.75464,-30.64081,-13.16753,-20.62445,-33.01030,61.57567
60.00000,0.60000,0.06013,-12.20911,0.05750,-12.40354,0.05956,-12.25066,-26.19102,-18.14166,-20.02817,-21.09515,-13.99302,-15.72781,-19.62840,-33.01030,-30.04778,-13.26414,-20.97722,-33.01030,63.04926
61.00000,0.61000,0.06016,-12.20679,0.05719,-12.42712,0.05938,-12.26371,-25.66770,-18.06394,-20.22363,-20.99177,-13.95596,-15.69450,-19.62592,-32.86378,-29.17165,-13.30524,-20.89108,-33.01030,63.67843
62.00000,0.62000,0.05843,-12.33369,0.05550,-12.55724,0.05756,-12.39848,-25.70892,-18.27953,-20.67328,-21.25773,-14.01759,-16.13082,-19.87503,-32.96165,-29.25319,-13.41264,-21.15114,-33.01030,62.83385
63.00000,0.63000,0.05657,-12.47424,0.05381,-12.69169,0.05592,-12.52431,-26.00226,-17.88232,-21.53202,-21.37411,-13.98525,-16.45524,-20.13047,-32.95116,-29.65113,-13.52113,-21.29456,-33.01030,62.96707
64.00000,0.64000,0.05632,-12.49309,0.05371,-12.69970,0.05577,-12.53561,-26.03473,-17.99988,-21.81111,-21.49557,-13.95952,-16.72767,-20.20971,-32.77930,-30.06737,-13.52688,-21.41170,-33.01030,62.85776
65.00000,0.65000,0.05570,-12.54143,0.05297,-12.75938,0.05505,-12.59223,-26.14573,-17.74301,-22.97343,-21.19965,-13.96109,-17.05300,-19.96330,-32.24111,-30.01534,-13.64511,-21.13010,-33.01030,61.20766
66.00000,0.66000,0.05430,-12.65220,0.05163,-12.87068,0.05362,-12.70666,-26.18672,-17.94637,-23.48183,-21.44370,-14.00481,-17.45945,-20.19607,-32.02043,-29.70636,-13.72389,-21.36800,-33.01030,59.87700
67.00000,0.67000,0.05467,-12.62269,0.05196,-12.84332,0.05402,-12.67414,-26.35833,-17.30460,-24.74688,-21.85532,-13.77901,-17.96583,-20.65349,-31.82275,-29.73972,-13.59472,-21.75796,-33.01030,60.95372
68.00000,0.68000,0.05360,-12.70821,0.05085,-12.93703,0.05299,-12.75808,-26.39893,-17.62108,-25.54847,-21.60595,-13.87035,-18.17401,-20.44778,-31.25391,-30.18597,-13.74626,-21.51502,-33.01030,59.00059
69.00000,0.69000,0.05537,-12.56731,0.05263,-12.78785,0.05487,-12.60682,-26.56723,-16.84710,-26.10932,-22.08296,-13.59462,-18.51282,-20.85244,-31.14248,-30.54337,-13.47986,-21.97318,-33.01030,60.97928
70.00000,0.70000,0.05359,-12.70902,0.05069,-12.95105,0.05288,-12.76704,-26.06723,-17.23749,-27.41642,-22.12220,-13.70611,-19.01148,-21.03222,-31.37995,-29.87688,-13.65833,-22.00665,-33.01030,59.43097
71.00000,0.71000,0.05527,-12.57501,0.05228,-12.81676,0.05450,-12.63566,-26.02035,-16.90107,-26.79198,-22.28799,-13.58282,-19.03454,-21.07730,-31.63863,-29.73450,-13.49000,-22.16755,-33.01030,61.37042
72.00000,0.72000,0.05389,-12.68479,0.05088,-12.93427,0.05309,-12.75007,-26.04794,-17.16638,-27.92207,-22.45758,-13.63892,-19.54654,-21.28132,-31.15447,-29.39456,-13.58582,-22.32177,-33.01030,59.19547
73.00000,0.73000,0.05548,-12.55900,0.05233,-12.81265,0.05478,-12.61380,-25.88633,-16.94763,-27.10205,-22.44599,-13.50500,-19.46237,-21.31840,-30.65637,-29.71049,-13.43221,-22.31185,-33.01030,62.25475
74.00000,0.74000,0.05532,-12.57140,0.05218,-12.82513,0.05463,-12.62575,-25.77156,-17.16633,-27.46669,-22.64963,-13.48147,-19.81399,-21.48861,-30.97381,-29.55640,-13.42838,-22.51958,-33.01030,61.58885
75.00000,0.75000,0.05704,-12.43819,0.05404,-12.67295,0.05654,-12.47667,-26.07493,-16.87503,-25.94783,-22.90159,-13.31141,-19.63790,-21.80932,-30.77088,-30.41884,-13.20349,-22.74007,-33.01030,63.48532
76.00000,0.76000,0.05690,-12.44909,0.05359,-12.70900,0.05626,-12.49801,-25.56583,-17.22063,-25.51329,-23.23408,-13.32459,-19.84087,-22.15954,-30.50618,-29.64305,-13.20215,-23.04345,-33.01030,63.93557
77.00000,0.77000,0.06110,-12.13978,0.05714,-12.43025,0.05985,-12.22927,-24.59971,-17.23325,-24.90887,-23.03650,-13.05501,-19.51934,-21.90832,-30.57919,-28.33032,-12.92738,-22.83049,-33.01030,65.41674
78.00000,0.78000,0.06302,-12.00488,0.05751,-12.40227,0.06045,-12.18635,-23.21005,-17.48650,-23.45121,-22.91005,-13.10963,-18.90691,-21.82149,-29.82287,-26.09822,-12.88666,-22.74108,-33.01030,74.67559
79.00000,0.79000,0.06339,-11.97988,0.05823,-12.34846,0.06100,-12.14668,-23.60232,-17.34514,-23.22942,-23.25977,-13.02271,-18.90253,-22.16498,-30.17132,-26.51955,-12.78117,-23.08055,-33.01030,74.81430
80.00000,0.80000,0.06601,-11.80387,0.06111,-12.13879,0.06391,-11.94459,-23.44167,-17.61758,-22.47512,-23.30021,-12.83320,-18.68135,-22.19783,-30.54474,-26.84978,-12.57455,-23.13614,-33.01030,75.07021
81.00000,0.81000,0.06753,-11.70472,0.06306,-12.00247,0.06601,-11.80406,-24.11046,-17.35665,-22.20540,-23.55780,-12.65486,-18.51776,-22.47205,-30.44606,-27.57935,-12.37347,-23.39568,-33.01030,73.75000
82.00000,0.82000,0.07228,-11.40995,0.06698,-11.74044,0.07009,-11.54357,-23.18107,-17.40539,-21.46320,-23.46007,-12.40840,-18.02985,-22.32880,-30.30096,-26.53804,-12.11228,-23.32855,-33.01030,80.18079
83.00000,0.83000,0.07257,-11.39244,0.06749,-11.70789,0.07047,-11.51975,-23.37623,-17.47849,-21.65010,-23.49037,-12.33899,-18.01248,-22.36173,-30.48420,-26.56144,-12.06894,-23.35514,-33.01030,79.04017
84.00000,0.84000,0.07279,-11.37917,0.06810,-11.66864,0.07078,-11.50095,-23.76245,-17.75858,-21.15824,-23.61775,-12.30640,-17.62526,-22.49293,-30.86518,-26.73619,-12.00863,-23.52673,-33.01030,78.16815
85.00000,0.85000,0.07483,-11.25908,0.06979,-11.56191,0.07252,-11.39532,-23.23927,-17.59469,-21.32686,-23.98321,-12.15508,-17.77333,-22.77648,-31.91278,-26.37528,-11.88679,-23.90271,-33.01030,81.98269
86.00000,0.86000,0.07864,-11.04366,0.07356,-11.33378,0.07628,-11.17609,-23.24995,-17.44451,-20.73393,-24.33702,-11.90130,-17.42366,-23.10212,-31.88943,-26.11009,-11.61367,-24.23292,-33.01030,83.44758
87.00000,0.87000,0.07941,-11.00114,0.07450,-11.27863,0.07724,-11.12146,-23.22802,-17.54662,-20.90226,-24.33438,-11.83677,-17.45244,-23.08123,-32.92560,-26.22213,-11.56920,-24.24793,-33.01030,82.73255
88.00000,0.88000,0.08170,-10.87778,0.07627,-11.17652,0.07886,-11.03159,-22.85597,-17.50543,-20.61820,-24.49704,-11.71962,-17.20380,-23.23935,-33.01030,-25.42752,-11.44762,-24.42771,-33.01030,87.32122
89.00000,0.89000,0.08213,-10.85495,0.07699,-11.13559,0.07963,-10.98936,-23.04365,-17.36917,-21.03133,-24.74559,-11.64869,-17.57274,-23.44296,-33.01030,-25.66757,-11.39819,-24.64824,-33.01030,86.92830
90.00000,0.90000,0.08448,-10.73230,0.07995,-10.97205,0.08245,-10.83829,-23.62532,-17.24171,-20.65244,-25.01744,-11.47194,-17.34930,-23.71908,-33.01030,-26.34855,-11.20729,-24.88523,-33.01030,83.25258
91.00000,0.91000,0.08607,-10.65168,0.08181,-10.87189,0.08418,-10.74792,-23.80048,-17.09770,-20.98701,-25.09677,-11.34430,-17.61732,-23.75465,-33.01030,-26.68319,-11.10138,-24.91315,-33.01030,81.80032
92.00000,0.92000,0.08565,-10.67285,0.08019,-10.95886,0.08235,-10.84351,-22.84238,-17.05294,-21.17048,-25.69960,-11.40012,-17.92916,-24.33133,-33.01030,-24.83739,-11.15688,-25.49266,-33.01030,91.04017
93.00000,0.93000,0.08863,-10.52402,0.08191,-10.86644,0.08404,-10.75505,-21.90174,-16.98057,-21.46187,-25.88062,-11.26147,-18.10959,-24.49819,-33.01030,-23.58342,-11.05322,-25.65832,-33.01030,95.55281
94.00000,0.94000,0.08712,-10.59880,0.08107,-10.91133,0.08337,-10.78974,-22.41143,-17.01038,-21.75499,-26.03359,-11.28796,-18.48342,-24.75009,-33.01030,-24.12513,-11.08748,-25.80267,-33.01030,92.17406
95.00000,0.95000,0.08855,-10.52828,0.08391,-10.76197,0.08610,-10.65010,-23.59154,-16.85897,-21.74019,-26.04177,-11.12771,-18.59898,-24.83401,-33.01030,-25.72144,-10.92926,-25.76130,-33.01030,84.71838
96.00000,0.96000,0.09334,-10.29934,0.08269,-10.82544,0.08532,-10.68941,-19.91820,-16.98501,-21.50211,-26.20871,-11.21940,-18.64221,-24.96685,-32.79845,-20.82958,-10.98324,-25.83152,-33.01030,103.28020
97.00000,0.97000,0.09495,-10.22488,0.08819,-10.54599,0.09057,-10.43031,-21.86380,-16.70444,-21.10132,-26.61699,-10.92383,-18.49078,-25.56103,-32.65156,-23.34186,-10.68202,-26.25146,-33.01030,95.55537
98.00000,0.98000,0.09690,-10.13697,0.08526,-10.69267,0.08780,-10.56523,-19.47465,-16.94555,-20.71833,-26.58919,-11.13295,-18.32273,-25.44892,-32.34800,-20.40752,-10.83304,-26.29186,-33.01030,106.87975
99.00000,0.99000,0.09694,-10.13501,0.08972,-10.47096,0.09235,-10.34577,-21.41536,-16.86046,-20.35997,-26.85364,-10.91213,-18.14958,-25.79846,-32.30401,-22.93284,-10.60746,-26.55433,-33.01030,96.75823
